base_solution,leave_out_1,leave_out_2,leave_out_3,leave_out_4,leave_out_5,leave_out_6,leave_out_7,leave_out_8,leave_out_9,leave_out_10,leave_out_11,leave_out_12,leave_out_13,leave_out_14,leave_out_15,leave_out_16,leave_out_17,initial_od,final_od,parent_plate,parent_well_index,parent_well,replicate,plate_control,plate_blank,strain,environment
CDM,,,,,,,,,,,,,,,,,,0.046,0.044,Plate 5$11547cf7ef8ebc25fa905011840fa1038d825cdd,153,G9,6,False,True,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.043,1.018,Plate 5$11547cf7ef8ebc25fa905011840fa1038d825cdd,192,H24,6,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.044,0.936,Plate 6$023865dddb326d5242cb8f1866435344c3e6adc3,14,A14,6,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.042,0.043,Plate 6$023865dddb326d5242cb8f1866435344c3e6adc3,247,K7,6,False,True,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.043,0.042,Plate 7$14dc2c6be12a37b9d3e8528d4562a4d618cbd59c,249,K9,6,False,True,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.043,1.021,Plate 7$14dc2c6be12a37b9d3e8528d4562a4d618cbd59c,297,M9,6,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.044,0.936,Plate 8$2854685cb29001c4ddf99a8e952151e3c4ec996d,13,A13,6,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.043,0.042,Plate 8$2854685cb29001c4ddf99a8e952151e3c4ec996d,22,A22,6,False,True,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.043,0.993,Plate 9$a13d1dfecd675846f2bc4684b517be4ed61a8719,202,I10,6,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.043,0.042,Plate 9$a13d1dfecd675846f2bc4684b517be4ed61a8719,209,I17,6,False,True,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.044,0.916,Plate 1$19bcc3d48a381f86cbd2fa9b117c6c85dd83e029,112,E16,7,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.041,0.906,Plate 10$08cf75fc78aabbfa578808d610fa41baaae4fe0c,364,P4,7,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.043,0.957,Plate 2$fd36bc8a0251f95d85b27f758955f33b83ae96fe,257,K17,7,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.044,0.955,Plate 3$bd7007fc68d864a47da5fa430d0a1f23da490d3c,25,B1,7,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.045,0.975,Plate 4$f4a6783b2720ad0d7d4d0094cbfa18d33bc9a516,372,P12,7,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.046,1.109,Plate 5$11547cf7ef8ebc25fa905011840fa1038d825cdd,355,O19,7,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.043,0.94,Plate 6$023865dddb326d5242cb8f1866435344c3e6adc3,161,G17,7,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.043,0.85,Plate 7$14dc2c6be12a37b9d3e8528d4562a4d618cbd59c,307,M19,7,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.046,0.727,Plate 8$2854685cb29001c4ddf99a8e952151e3c4ec996d,231,J15,7,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.043,0.855,Plate 9$a13d1dfecd675846f2bc4684b517be4ed61a8719,136,F16,7,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.042,0.761,Plate 1$19bcc3d48a381f86cbd2fa9b117c6c85dd83e029,369,P9,8,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.042,0.993,Plate 10$08cf75fc78aabbfa578808d610fa41baaae4fe0c,197,I5,8,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.044,1.06,Plate 2$fd36bc8a0251f95d85b27f758955f33b83ae96fe,186,H18,8,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.043,0.88,Plate 3$bd7007fc68d864a47da5fa430d0a1f23da490d3c,229,J13,8,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.045,0.943,Plate 4$f4a6783b2720ad0d7d4d0094cbfa18d33bc9a516,181,H13,8,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.043,0.977,Plate 5$11547cf7ef8ebc25fa905011840fa1038d825cdd,93,D21,8,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.042,0.829,Plate 6$023865dddb326d5242cb8f1866435344c3e6adc3,349,O13,8,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.045,0.939,Plate 7$14dc2c6be12a37b9d3e8528d4562a4d618cbd59c,163,G19,8,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.041,0.982,Plate 8$2854685cb29001c4ddf99a8e952151e3c4ec996d,57,C9,8,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.062,0.945,Plate 9$a13d1dfecd675846f2bc4684b517be4ed61a8719,282,L18,8,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.042,0.847,Plate 1$19bcc3d48a381f86cbd2fa9b117c6c85dd83e029,17,A17,9,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.044,1.089,Plate 10$08cf75fc78aabbfa578808d610fa41baaae4fe0c,371,P11,9,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.042,1.027,Plate 2$fd36bc8a0251f95d85b27f758955f33b83ae96fe,196,I4,9,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.044,0.842,Plate 3$bd7007fc68d864a47da5fa430d0a1f23da490d3c,380,P20,9,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.043,1.02,Plate 4$f4a6783b2720ad0d7d4d0094cbfa18d33bc9a516,322,N10,9,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.046,0.89,Plate 5$11547cf7ef8ebc25fa905011840fa1038d825cdd,377,P17,9,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.043,0.788,Plate 6$023865dddb326d5242cb8f1866435344c3e6adc3,63,C15,9,True,False,S. mutans UA159,aerobic
