base_solution,leave_out_1,leave_out_2,leave_out_3,leave_out_4,leave_out_5,leave_out_6,leave_out_7,leave_out_8,leave_out_9,leave_out_10,leave_out_11,leave_out_12,leave_out_13,leave_out_14,leave_out_15,leave_out_16,leave_out_17,leave_out_18,leave_out_19,initial_od,final_od,parent_plate,parent_well_index,parent_well,replicate,plate_control,plate_blank,strain,environment
CDM,,,,,,,,,,,,,,,,,,,,0.043,0.736,Plate 17$76b2873afe5c3f3a5d270a31c6181b6aace56897,11,A11,3,True,False,S. mutans UA159,anaerobic
CDM,,,,,,,,,,,,,,,,,,,,0.041,0.041,Plate 17$76b2873afe5c3f3a5d270a31c6181b6aace56897,185,H17,3,False,True,S. mutans UA159,anaerobic
CDM,,,,,,,,,,,,,,,,,,,,0.043,0.811,Plate 18$7c460ce9bc530fdfe53e0b0b88d1d8ee8bfa7411,111,E15,3,True,False,S. mutans UA159,anaerobic
CDM,,,,,,,,,,,,,,,,,,,,0.042,0.043,Plate 18$7c460ce9bc530fdfe53e0b0b88d1d8ee8bfa7411,215,I23,3,False,True,S. mutans UA159,anaerobic
CDM,,,,,,,,,,,,,,,,,,,,0.041,0.821,Plate 19$20a781370a4edf07a385c9a3dcca67625137cce1,338,O2,3,True,False,S. mutans UA159,anaerobic
CDM,,,,,,,,,,,,,,,,,,,,0.043,0.12,Plate 19$20a781370a4edf07a385c9a3dcca67625137cce1,352,O16,3,False,True,S. mutans UA159,anaerobic
CDM,,,,,,,,,,,,,,,,,,,,0.042,0.602,Plate 2$e3db01324b01e84fd271846105aaf98a57af36b0,162,G18,3,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,,,0.042,0.042,Plate 2$e3db01324b01e84fd271846105aaf98a57af36b0,299,M11,3,False,True,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,,,0.129,0.323,Plate 20$31dff95f3bbef010dd0625498831610de18ccfd8,111,E15,3,False,True,S. mutans UA159,anaerobic
CDM,,,,,,,,,,,,,,,,,,,,0.042,0.891,Plate 20$31dff95f3bbef010dd0625498831610de18ccfd8,370,P10,3,True,False,S. mutans UA159,anaerobic
CDM,,,,,,,,,,,,,,,,,,,,0.041,0.065,Plate 3$5973cc64507958195f09a634be48645e2805ef38,32,B8,3,False,True,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,,,0.042,0.501,Plate 3$5973cc64507958195f09a634be48645e2805ef38,133,F13,3,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,,,0.042,0.042,Plate 4$b18f0178228faab1cbc813d8d17527fc06143a89,356,O20,3,False,True,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,,,0.043,0.656,Plate 4$b18f0178228faab1cbc813d8d17527fc06143a89,360,O24,3,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,,,0.041,0.79,Plate 5$f9f67926c50ad7b56c6bf7718da519661f5ae991,69,C21,3,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,,,0.041,0.041,Plate 5$f9f67926c50ad7b56c6bf7718da519661f5ae991,321,N9,3,False,True,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,,,0.041,0.777,Plate 6$34d4a6463c2c4d8d2e44dfc61133609b0b2c4032,118,E22,3,True,False,S. mutans UA159,aerobic
