ala,arg,asn,asp,cys,glu,gln,gly,his,ile,leu,lys,met,phe,pro,ser,thr,trp,tyr,val,environment,strain,fitness
0,1,0,0,1,0,0,1,0,0,1,1,1,0,0,1,1,1,1,1,aerobic,S. gordonii CH1,0.0012618296529968423
0,1,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,1,0,1,aerobic,S. gordonii CH1,0.001790332206087127
0,1,0,0,1,0,0,1,1,0,0,1,1,1,0,1,1,1,0,0,aerobic,S. gordonii CH1,0.0012641226198941307
0,1,0,0,1,0,0,1,1,0,1,0,1,1,1,1,0,1,0,0,aerobic,S. gordonii CH1,0.002416918429003019
0,1,0,0,1,0,0,1,1,0,1,1,1,0,0,0,0,1,0,0,aerobic,S. gordonii CH1,0.0012607359546135022
0,1,0,0,1,0,0,1,1,1,1,0,1,0,0,0,1,0,1,1,aerobic,S. gordonii CH1,0.001212886923562852
0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,aerobic,S. gordonii CH1,0.003819324722170648
0,1,0,0,1,0,1,1,0,1,0,0,1,1,0,1,1,1,1,1,aerobic,S. gordonii CH1,0.058672604928111535
0,1,0,0,1,0,1,1,0,1,1,0,0,1,0,1,0,0,1,1,aerobic,S. gordonii CH1,0.7634434149045696
0,1,0,0,1,0,1,1,0,1,1,1,0,0,0,1,1,0,1,0,aerobic,S. gordonii CH1,0.0023918676499900316
0,1,0,0,1,0,1,1,1,0,0,0,1,0,1,0,1,0,0,0,aerobic,S. gordonii CH1,0.0012618296529968466
0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,0,1,1,1,1,aerobic,S. gordonii CH1,0.0011935548040580874
0,1,0,0,1,1,1,1,0,0,1,0,0,1,0,0,0,1,0,1,aerobic,S. gordonii CH1,0.0006365541203617755
0,1,0,0,1,1,1,1,0,0,1,0,0,1,0,1,1,1,1,0,aerobic,S. gordonii CH1,0.7214987655516291
0,1,0,0,1,1,1,1,1,1,0,0,0,1,1,0,1,0,0,0,aerobic,S. gordonii CH1,0.001900688999762411
0,1,0,0,1,1,1,1,1,1,0,1,1,1,0,1,0,0,1,1,aerobic,S. gordonii CH1,0.05381702212477576
0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,1,0,0,0,aerobic,S. gordonii CH1,0.0011959338249950139
0,1,0,1,0,1,0,1,1,0,1,1,0,0,1,1,1,0,0,0,aerobic,S. gordonii CH1,0.004416403785488959
0,1,0,1,0,1,0,1,1,1,0,1,1,0,0,1,1,1,1,0,aerobic,S. gordonii CH1,0.004774219216232346
0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,aerobic,S. gordonii CH1,0.002523659305993689
0,1,0,1,0,0,0,1,0,0,0,1,0,1,1,1,1,1,0,1,aerobic,S. gordonii CH1,0.0011935548040580874
0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,aerobic,S. gordonii CH1,0.0006320613099470654
0,1,0,1,0,0,0,1,0,1,1,0,0,1,0,0,1,1,0,1,aerobic,S. gordonii CH1,0.0018126888217522674
0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,aerobic,S. gordonii CH1,0.00189110393192026
