ala_exch,gly_exch,arg_exch,asn_exch,asp_exch,cys_exch,glu_exch,gln_exch,his_exch,ile_exch,leu_exch,lys_exch,met_exch,phe_exch,ser_exch,thr_exch,trp_exch,tyr_exch,val_exch,pro_exch,grow
0,0,1,0,0,1,1,1,0,1,1,1,1,1,0,0,0,1,1,1,1.0
0,0,1,0,0,1,1,1,1,0,0,0,1,0,1,0,1,0,1,0,0.12945873232473912
0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0.5210424527806099
0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0.4500424512207702
0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1.0
0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1.0
0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0.866421568627451
0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0.30410896647596647
0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1.0
0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1.0
0,0,1,0,1,0,1,0,0,0,1,1,0,1,0,0,0,1,1,0,1.0
0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0.5344544403960423
0,0,1,0,1,0,1,0,1,1,0,1,0,1,1,1,0,1,0,0,0.6226285197759115
0,0,1,0,1,0,1,1,0,0,1,0,0,0,1,1,1,1,0,0,1.0
0,0,1,0,1,0,1,1,1,1,0,1,0,0,1,0,0,1,0,1,0.7309347176090748
0,0,1,0,1,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0.35751281395880696
0,0,1,0,1,1,0,0,0,0,1,0,1,1,1,1,0,0,0,1,1.0
0,0,1,0,1,1,0,1,1,0,0,1,1,1,1,1,1,0,1,1,1.0
0,0,1,0,1,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0.41238496251288065
0,0,1,0,1,1,1,0,1,0,0,0,1,1,0,1,0,1,0,1,0.5812246796120787
0,0,1,0,1,1,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1.0
0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1.0
0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1.0
0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1.0
0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1.0
0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1.0
0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1.0
0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,1,1.0
0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1.0
0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1.0
0,0,1,1,0,0,0,1,0,1,0,1,0,0,1,0,0,1,1,1,0.9664772727272728
0,0,1,1,0,0,1,0,0,1,1,0,0,1,0,1,1,1,1,0,0.4587891375969724
0,0,1,1,0,0,1,0,0,1,1,0,1,0,1,0,0,1,0,0,1.0
0,0,1,1,0,0,1,0,1,0,0,1,1,0,0,1,0,1,1,0,0.447830623596531
0,0,1,1,0,0,1,0,1,1,1,1,1,1,1,0,0,0,0,1,1.0
0,0,1,1,0,0,1,1,0,0,1,0,0,0,1,1,1,1,0,0,0.6186799043941902
0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,1,0,1,0,1.0
0,0,1,1,0,1,0,0,0,0,1,0,0,1,1,1,0,1,0,0,1.0
0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0.8059242085065557
0,0,1,1,0,1,0,0,1,0,1,0,0,1,0,1,1,0,1,0,1.0
0,0,1,1,0,1,0,0,1,1,1,0,0,1,1,1,0,1,0,0,1.0
0,0,1,1,0,1,0,0,1,1,1,1,0,0,0,1,0,1,1,1,0.9821155277349064
0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,0,1,0,1,0,1.0
0,0,1,1,0,1,0,1,0,1,0,1,0,0,0,0,1,1,1,0,0.5742043371658455
0,0,1,1,0,1,1,0,0,1,0,0,1,1,0,1,1,1,1,0,0.9839164130816709
0,0,1,1,0,1,1,1,0,0,0,0,1,0,1,1,1,1,1,0,0.31805523791586504
0,0,1,1,0,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1.0
0,0,1,1,1,0,0,0,0,1,1,1,1,0,1,0,0,0,1,0,0.6253542212479282
0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1.0
0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.5468211195012022
0,0,1,1,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,1.0
0,0,1,1,1,0,1,1,0,0,1,1,0,1,0,1,1,1,0,0,1.0
0,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0.5083560189613312
0,0,1,1,1,0,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0.5062923024431272
0,0,1,1,1,1,0,0,0,1,1,1,0,1,1,1,0,0,0,1,0.6170767119473339
0,0,1,1,1,1,0,0,1,0,0,1,1,1,0,1,0,0,1,0,0.6080363589074391
0,0,1,1,1,1,0,0,1,0,1,0,0,0,1,1,0,1,1,1,1.0
0,0,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,1,1,1,1.0
0,0,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,0,1,1,1.0
0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0.3586120567323741
0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1.0
0,0,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,0,0.6152393625328088
