ala,arg,asn,asp,cys,glu,gln,gly,his,ile,leu,lys,met,phe,pro,ser,thr,trp,tyr,val,environment,grow
0,0,1,1,1,0,1,1,0,1,1,0,0,1,1,1,0,0,0,0,anaerobic,1.0
0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,anaerobic,1.0
0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,anaerobic,0.7679108970499698
0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,anaerobic,0.8080992338562567
0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,anaerobic,0.17627567925778662
0,1,1,1,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,1,anaerobic,0.047103410936654044
0,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0,0,0,1,1,anaerobic,1.0
0,0,1,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,anaerobic,0.09021345146999599
0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,anaerobic,0.38275458447132266
0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,1,0,0,0,0,anaerobic,0.09236773633998266
0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,anaerobic,0.3443998540678584
0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,1,anaerobic,0.8704335119337553
0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,anaerobic,0.3490893321769298
0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,1,0,0,0,1,anaerobic,0.8490566037735849
0,0,0,0,1,1,0,1,0,1,0,1,0,1,1,1,0,0,1,0,anaerobic,0.9282091299258682
0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,1,0,1,0,0,anaerobic,0.3830022075055187
0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,1,1,1,0,0,anaerobic,0.9572564612326044
0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,1,1,0,0,0,anaerobic,1.0
0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,anaerobic,0.0906161900926299
0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,anaerobic,0.6247240618101545
